TID,property_type,building_size,open_date,listing_agency,price,city,zip_code,phone,product_depth,bedroom_count,bathroom_count,parking_count
1350988,House,,Added 2 hours ago,Professionals - DARWIN CITY,"$435,000",Darwin City,800,08 8941 8289,premiere,2,1,1
1350989,Apartment,171m²,Added 7 hours ago,Nick Mousellis Real Estate - Eview Group Member,"Offers Over $320,000",Darwin City,800,411724000,premiere,3,2,2
1350990,Unit,,Added 22 hours ago,Habitat Real Estate - THE GARDENS,"$310,000",Darwin City,800,08 8981 0080,premiere,2,1,1
1350991,House,,Added yesterday,Ray White - NIGHTCLIFF,"$259,000",Darwin City,800,08 8982 2403,premiere,1,1,0
1350992,Unit,201m²,Added yesterday,Carol Need Real Estate - Fannie Bay,"$439,000",Darwin City,800,418885966,premiere,3,2,2
1350993,Apartment,218m²,Added 2 days ago,iProperty NT - Darwin,"$825,000",Darwin City,800,0404 877 261,premiere,3,2,2
1350994,Unit,,Added 2 days ago,Nicole Wheeler@realty - LARRAKEYAH,"$820,000",Darwin City,800,417508800,premiere,3,2,2
1350995,Unit,,Added 3 days ago,Property Shop - Darwin,$369 000,Darwin City,800,08 8981 5000,premiere,2,1,1
1350996,Unit,,Added 6 days ago,Real Estate Central Projects - Darwin,"$439,000",Darwin City,800,08 8943 3000,premiere,2,2,1
1350997,Apartment,,,Real Estate Central - DARWIN CITY,"$455,000",Darwin City,800,08 8943 3000,premiere,2,2,1
1350998,Apartment,,,Professionals - DARWIN CITY,"$280,000",Darwin City,800,08 8941 8289,premiere,1,1,1
1350999,Apartment,,,Real Estate Central - DARWIN CITY,Openn Negotiation,Darwin City,800,08 8943 3000,premiere,3,2,2
1351000,Unit,173m²,,Elders Real Estate - Darwin,"PRICE GUIDE $439,000",Darwin City,800,08 8946 0500,premiere,2,2,2
1351001,House,236m²,,Knight Frank (NT) - Darwin,"$775,000",Darwin City,800,08 8982 2500,premiere,3,2,2
1351002,Apartment,181m²,,Get Realty - PALMERSTON CITY,"$625,000",Darwin City,800,416175735,premiere,3,2,2
1351003,Unit,,,Territory Real Estate - Darwin,"Overs Over $599,000 Considered",Darwin City,800,889855678,premiere,2,2,2
1351004,Apartment,69m²,,Knight Frank (NT) - Darwin,"$490,000",Darwin City,800,08 8982 2500,premiere,1,1,1
1351005,Unit,62m²,,Nick Mousellis Real Estate - Eview Group Member,"$337,500",Darwin City,800,411724000,premiere,1,1,0
1351006,Unit,,,Elders Real Estate - Darwin,FASTRAK,Darwin City,800,08 8946 0500,premiere,1,1,0
1351007,House,138m²,,Call2View Real Estate - Palmerston,"$439,000",Darwin City,800,08 8932 8858,premiere,2,2,1
1351008,Apartment,,Under offer,Real Estate Central Projects - Darwin,UNDER CONTRACT,Darwin City,800,08 8943 3000,premiere,3,2,2
1351009,Apartment,155m²,,All Real Estate NT,"Offers Over $440,000",Darwin City,800,0419 592 414,midtier,2,2,2
1351010,Apartment,114m²,,Professionals - DARWIN CITY,"$640,000",Darwin City,800,08 8941 8289,premiere,2,2,2
1351011,Apartment,,,Knight Frank (NT) - Darwin,"$500,000",Darwin City,800,08 8982 2500,premiere,1,1,1
1351012,Unit,,,Absolute Real Estate NT - Darwin,"$305,000 +",Darwin City,800,08 8930 6600,premiere,1,1,1
1351013,Unit,,,Absolute Real Estate NT - Darwin,"$295,000 +",Darwin City,800,08 8930 6600,premiere,1,1,1
1351014,Unit,340m²,Under offer,Colliers International - Darwin,"$795,000",Darwin City,800,08 8997 0888,premiere,3,3,4
1351015,Unit,,,Core Realty NT - RAPID CREEK,"Offers Over $950,000",Darwin City,800,0450 473 710,premiere,3,2,2
1351016,House,,,Ray White - NIGHTCLIFF,"Offers Over $485,000",Darwin City,800,08 8982 2403,premiere,2,2,2
1351017,Unit,51m²,,Property Shop - Darwin,"$250,000",Darwin City,800,08 8981 5000,premiere,1,1,1
1351018,Apartment,,,Darwin Residential and Commercial Real Estate Pty Ltd - CASUARINA,"$549,000",Darwin City,800,08 8945 9372,premiere,2,2,2
1351019,Apartment,48m²,,Knight Frank (NT) - Darwin,"Offers over $299,000",Darwin City,800,08 8982 2500,premiere,1,1,1
1351020,Apartment,,,Elaine Mills Property Management - COOLALINGA,"$395,000",Darwin City,800,08 8983 1800,premiere,3,1,1
1351021,Unit,,,Raine & Horne - Darwin,UNDER CONTRACT,Darwin City,800,08 8941 8941,premiere,1,1,1
1351022,Unit,,Under offer,LJ Hooker Darwin -   ,"$475,000",Darwin City,800,08 8924 0900,premiere,2,2,2
1351023,Unit,140m²,,Top End Realty International - NIGHTCLIFF,Contact Agent,Darwin City,800,08 8948 5607,premiere,2,2,2
1351024,House,,,Professionals - DARWIN CITY,OFFERS INVITED,Darwin City,800,08 8941 8289,premiere,2,2,2
1351025,Apartment,81m²,,Knight Frank (NT) - Darwin,"$465,000",Darwin City,800,08 8982 2500,premiere,1,1,1
1351026,Apartment,,,Real Estate Central Projects - Darwin,"Current Bid $600,000",Darwin City,800,08 8943 3000,premiere,3,2,2
1351027,Apartment,235m²,,Knight Frank (NT) - Darwin,"Offers Over $980,000",Darwin City,800,08 8982 2500,premiere,3,2,2
1351028,Apartment,,,First National Real Estate O'Donoghues - Darwin,"$1,050,000",Darwin City,800,08 8942 8942,premiere,3,2,2
1351029,Apartment,,Under offer,Pacific Property Darwin,UNDER CONTRACT... MORE PROPERTIES WANTED,Darwin City,800,433038633,premiere,3,2,2
1351030,House,81m²,,Ray White City (NT) -    ,"$450,000",Darwin City,800,08 8943 3500,premiere,1,1,1
1351031,Apartment,,,Real Estate Central - DARWIN CITY,"$749,000",Darwin City,800,08 8943 3000,premiere,3,2,2
1351032,Apartment,,,All About Real Estate NT - DARWIN CITY,UNDER CONTRACT,Darwin City,800,0438 404 848,premiere,3,3,2
1351033,Unit,,,Real Estate NT by George Pikos - FANNIE BAY,"$289,000",Darwin City,800,08 8941 9959,premiere,1,1,1
1351034,Apartment,,,Ausway Group,"$490,000",Darwin City,800,451125286,premiere,2,2,2
1351035,Apartment,,Under offer,Real Estate Central - DARWIN CITY,UNDER CONTRACT,Darwin City,800,08 8943 3000,premiere,3,2,2
1351036,Unit,,,Habitat Real Estate - THE GARDENS,"Offers over $565,000",Darwin City,800,08 8981 0080,premiere,2,2,2
1351037,Apartment,130m²,,Call2View Real Estate - Palmerston,"$399,000",Darwin City,800,08 8932 8858,premiere,2,2,2
1351038,Apartment,,,First National Real Estate O'Donoghues - Darwin,"Offers over $469,000",Darwin City,800,08 8942 8942,premiere,3,2,2
1351039,Apartment,,,First National Real Estate O'Donoghues - Darwin,"$649,000",Darwin City,800,08 8942 8942,premiere,4,2,2
